                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.7682,                 1.9101,                 2.1289,                0.62131,                0.51013,                0.56856,                0.27471,                  1.735,                  1.781,                 2.1532,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.7252,                 1.8977,                 2.1135,                 0.5847,                0.53165,                0.55478,                0.26787,                 1.7421,                 1.7976,                 2.1691,               0.000416,               0.000416,               0.000416
                     83,                 1.7772,                 1.8761,                 2.1126,                0.59143,                0.53872,                0.55234,                0.26587,                 1.7468,                 1.7849,                 2.1633,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.7262,                 1.9005,                 2.1185,                0.63653,                0.53165,                 0.5862,                 0.2826,                 1.7401,                 1.7399,                 2.1417,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.6948,                 1.8369,                 2.0693,                 0.6417,                0.53729,                0.59173,                0.28143,                 1.7244,                 1.7423,                 2.1376,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.6899,                  1.817,                 2.0457,                0.61845,                0.50677,                0.56045,                0.26143,                 1.7102,                 1.8224,                 2.1514,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.7363,                 1.8713,                  2.108,                0.59712,                0.53671,                0.58135,                0.27916,                 1.7401,                 1.7764,                 2.1589,               0.000317,               0.000317,               0.000317
                     88,                  1.705,                 1.8248,                 2.0843,                0.64344,                0.54051,                0.59833,                0.29483,                 1.7109,                 1.7438,                  2.134,              0.0002972,              0.0002972,              0.0002972
                     89,                  1.708,                 1.8419,                 2.0624,                0.60528,                0.54155,                0.59424,                0.29238,                 1.7174,                 1.7301,                 2.1383,              0.0002774,              0.0002774,              0.0002774
                     90,                  1.761,                 1.8175,                 2.0926,                0.66843,                0.53544,                0.59993,                0.29261,                  1.686,                 1.7221,                 2.1013,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.8411,                 2.1045,                 2.2401,                0.64634,                0.53902,                0.59867,                0.29254,                 1.7107,                 1.7277,                 2.1119,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.7894,                 1.9427,                 2.1685,                0.60329,                0.55055,                0.58244,                0.29591,                 1.7274,                 1.7459,                 2.1285,               0.000218,               0.000218,               0.000218
                     93,                 1.7634,                  1.902,                 2.1865,                0.61944,                0.53924,                0.58497,                0.30252,                 1.7032,                 1.7389,                 2.1115,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.7707,                 1.9121,                 2.2119,                0.67677,                0.53802,                0.60775,                0.30659,                 1.6839,                 1.6778,                 2.0931,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.7655,                 1.8952,                 2.1796,                0.67167,                0.57745,                0.61603,                0.30681,                 1.6647,                 1.6649,                 2.0706,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.7424,                 1.8527,                 2.1202,                0.64827,                0.56962,                0.60735,                0.29266,                 1.6751,                 1.6801,                 2.0729,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.7046,                 1.8349,                 2.0985,                0.66705,                0.55696,                0.61662,                0.31028,                 1.6583,                 1.6546,                 2.0545,               0.000119,               0.000119,               0.000119
                     98,                 1.7104,                  1.792,                 2.1174,                0.67575,                0.55927,                0.62039,                 0.3132,                 1.6598,                 1.6547,                 2.0554,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.7147,                 1.7918,                 2.1172,                0.66833,                0.56709,                0.62596,                0.32042,                 1.6435,                 1.6424,                 2.0387,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.7094,                 1.7553,                 2.0821,                0.66474,                0.57224,                0.62913,                0.32034,                 1.6404,                 1.6311,                  2.034,               5.96e-05,               5.96e-05,               5.96e-05
